unique_id,code,slug,caption,type,is_actual,publ_date,start_date,end_date,version,file
5503599,42818,zakon-za-balgarskata-narodna-banka-1,"ЗАКОН за Българската народна банка",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-balgarskata-narodna-banka-1.json
5753285,42837,zakon-za-nasarchavane-na-nauchnite-izsledvaniya-i-inovaciite,"ЗАКОН за насърчаване на научните изследвания и иновациите",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-nasarchavane-na-nauchnite-izsledvaniya-i-inovaciite.json
5927777,42840,zakon-za-vavezhdane-na-evroto-v-republika-balgariya,"ЗАКОН за въвеждане на еврото в Република България",4,true,2025-12-30,2026-01-01,,,laws/zakon-za-vavezhdane-na-evroto-v-republika-balgariya.json
6178930,42850,zakon-za-sabiraneto-na-prihodi-i-izvarshvaneto-na-razhodi-prez-2025-g-do-priemaneto-na-zakona-za-darzhavniya-byudzhet-na,"ЗАКОН за събирането на приходи и извършването на разходи през 2025 г. до приемането на Закона за държавния бюджет на Република България за 2025 г., Закона за бюджета на държавното обществено осигуряване за 2025 г. и Закона за бюджета на Националната здравн",4,true,2025-01-21,2025-01-01,,,laws/zakon-za-sabiraneto-na-prihodi-i-izvarshvaneto-na-razhodi-prez-2025-g-do-priemaneto-na-zakona-za-darzhavniya-byudzhet-na.json
6240742,42852,zakon-za-predostavyane-na-finansova-podkrepa-na-bitovi-krayni-klienti-na-elektricheska-energiya,"ЗАКОН за предоставяне на финансова подкрепа на битови крайни клиенти на електрическа енергия",4,true,2025-02-21,2025-02-21,,,laws/zakon-za-predostavyane-na-finansova-podkrepa-na-bitovi-krayni-klienti-na-elektricheska-energiya.json
6290013,42855,zakon-za-byudzheta-na-darzhavnoto-obshtestveno-osiguryavane-za-2025-g,"ЗАКОН за бюджета на държавното обществено осигуряване за 2025 г.",4,true,2025-03-25,2025-01-01,,,laws/zakon-za-byudzheta-na-darzhavnoto-obshtestveno-osiguryavane-za-2025-g.json
6290014,42856,zakon-za-byudzheta-na-nacionalnata-zdravnoosiguritelna-kasa-za-2025-g,"ЗАКОН за бюджета на Националната здравноосигурителна каса за 2025 г.",4,true,2025-03-28,2025-01-01,,,laws/zakon-za-byudzheta-na-nacionalnata-zdravnoosiguritelna-kasa-za-2025-g.json
6299240,42857,zakon-za-darzhavniya-byudzhet-na-republika-balgariya-za-2025-g,"ЗАКОН за държавния бюджет на Република България за 2025 г.",4,true,2025-10-09,2025-10-09,,,laws/zakon-za-darzhavniya-byudzhet-na-republika-balgariya-za-2025-g.json
6330036,42859,zakon-za-iziskvaniyata-za-dostapnost-na-produkti-i-uslugi,"ЗАКОН за изискванията за достъпност на продукти и услуги",4,true,2025-04-11,2025-06-28,,,laws/zakon-za-iziskvaniyata-za-dostapnost-na-produkti-i-uslugi.json
6344301,42861,zakon-za-ratificirane-na-sporazumenieto-mezhdu-pravitelstvoto-na-republika-balgariya-i-universitetskata-agenciya-na-fran,"ЗАКОН за ратифициране на Споразумението между правителството на Република България и Университетската агенция на Франкофонията относно седалище на Националното бюро - България, на Университетската агенция на Франкофонията - Централна и Източна Европа, подп",4,true,2025-04-22,2025-04-25,,,laws/zakon-za-ratificirane-na-sporazumenieto-mezhdu-pravitelstvoto-na-republika-balgariya-i-universitetskata-agenciya-na-fran.json
6409777,42877,zakon-za-ratificirane-na-sporazumenieto-za-sazdavane-na-evropeyskata-konferenciya-po-molekulyarna-biologiya-embc,"ЗАКОН за ратифициране на Споразумението за създаване на Европейската конференция по молекулярна биология (EMBC)",4,true,2025-05-30,2025-06-03,,,laws/zakon-za-ratificirane-na-sporazumenieto-za-sazdavane-na-evropeyskata-konferenciya-po-molekulyarna-biologiya-embc.json
6414352,42879,zakon-za-ratificirane-na-sporazumenie-za-uchastie-na-republika-balgariya-v-regionalnata-programa-na-organizaciyata-za-ik,"ЗАКОН за ратифициране на Споразумение за участие на Република България в Регионалната програма на Организацията за икономическо сътрудничество и развитие за Югоизточна Европа с доброволен финансов принос в размер на 100 000 евро (195 583 лв.) между Републи",4,true,2025-06-03,2025-06-03,,,laws/zakon-za-ratificirane-na-sporazumenie-za-uchastie-na-republika-balgariya-v-regionalnata-programa-na-organizaciyata-za-ik.json
6439360,42883,zakon-za-ratificirane-na-sporazumenie-za-izpalnenie-na-programata-interreg-vi-a-ipp-balgariya-sarbiya-2021-2027-cci-2021,"ЗАКОН за ратифициране на Споразумение за изпълнение на Програмата (Interreg VI-A) ИПП България – Сърбия 2021 – 2027 (CCI 2021TC16IPCB007)",4,true,2025-06-17,2025-06-17,,,laws/zakon-za-ratificirane-na-sporazumenie-za-izpalnenie-na-programata-interreg-vi-a-ipp-balgariya-sarbiya-2021-2027-cci-2021.json
6452498,42884,zakon-za-licata-obsluzhvashti-krediti-i-kupuvachite-na-krediti,"ЗАКОН за лицата, обслужващи кредити, и купувачите на кредити",4,true,2025-06-20,2025-06-20,,,laws/zakon-za-licata-obsluzhvashti-krediti-i-kupuvachite-na-krediti.json
6480491,42900,zakon-za-nesastoyatelnost-na-fizicheskite-lica,"ЗАКОН за несъстоятелност на физическите лица",4,true,2025-10-17,2025-10-21,,,laws/zakon-za-nesastoyatelnost-na-fizicheskite-lica.json
6480492,42901,zakon-za-ratificirane-na-ustava-na-asociaciya-foedus-european-organ-exchange,"ЗАКОН за ратифициране на Устава на Асоциация ""FOEDUS European Organ Exchange""",4,true,2025-07-04,2025-07-04,,,laws/zakon-za-ratificirane-na-ustava-na-asociaciya-foedus-european-organ-exchange.json
6480493,42926,zakon-za-pazarite-na-kriptoaktivi,"ЗАКОН за пазарите на криптоактиви",4,true,2026-03-10,2026-03-14,,,laws/zakon-za-pazarite-na-kriptoaktivi.json
6518338,42946,zakon-za-ratificirane-na-mezhdunarodnite-zdravni-pravila-2005-izmeneni-s-rezolyuciya-wha7717-na-svetovnata-zdravna-asamb,"ЗАКОН за ратифициране на Международните здравни правила (2005), изменени с резолюция WHA77.17 на Световната здравна асамблея и приети на 1 юни 2024 г.",4,true,2025-07-29,2025-08-02,,,laws/zakon-za-ratificirane-na-mezhdunarodnite-zdravni-pravila-2005-izmeneni-s-rezolyuciya-wha7717-na-svetovnata-zdravna-asamb.json
